month	good_faith	anon_reverted	reverted_edits	reverts
201002	0	0	0	82
201002	0	1	0	43
201003	0	0	0	7
201003	0	1	0	1050
201004	0	1	0	695
201005	0	0	0	2
201005	0	1	0	465
201006	0	1	0	1974
201006	1	0	0	1
201007	0	1	0	539
201008	0	0	0	22
201008	0	1	0	853
201009	0	0	0	120
201009	0	1	0	4390
201010	0	0	0	192
201010	0	1	0	5301
201011	0	0	0	150
201011	0	1	0	4607
201012	0	0	0	80
201012	0	1	0	2107
201101	0	0	0	236
201101	0	1	0	4135
201102	0	0	0	565
201102	0	1	0	6807
201103	0	0	0	323
201103	0	1	0	4522
201104	0	0	0	185
201104	0	1	0	2636
201105	0	0	0	170
201105	0	1	0	2080
201105	1	0	0	5
201105	1	1	0	44
201106	0	0	0	125
201106	0	1	0	1348
201107	0	0	0	120
201107	0	1	0	1275
201108	0	0	0	114
201108	0	1	0	1577
201109	0	0	0	107
201109	0	1	0	1511
201110	0	0	0	74
201110	0	1	0	967
201111	0	0	0	43
201111	0	1	0	622
201112	0	0	1	294
201112	0	1	0	3765
201112	1	1	0	1
201201	0	0	0	260
201201	0	1	0	3650
201201	1	0	0	1
201202	0	0	0	346
201202	0	1	0	4410
201203	0	0	0	613
201203	0	1	0	9375
201204	0	0	0	914
201204	0	1	0	11716
201205	0	0	0	1028
201205	0	1	0	11827
201205	1	0	0	1
201206	0	0	0	584
201206	0	1	0	7482
201206	1	0	0	10
201206	1	1	0	115
201207	0	0	0	339
201207	0	1	0	7551
201207	1	0	0	92
201207	1	1	0	1791
201208	0	0	1	475
201208	0	1	1	6991
201208	1	0	0	235
201208	1	1	0	3228
201209	0	0	0	436
201209	0	1	0	6677
201209	1	0	0	192
201209	1	1	0	2433
201210	0	0	0	753
201210	0	1	0	11712
201210	1	0	0	331
201210	1	1	0	4529
201211	0	0	0	974
201211	0	1	0	12644
201211	1	0	0	520
201211	1	1	0	5542
201212	0	0	0	700
201212	0	1	2	9766
201212	1	0	0	456
201212	1	1	0	5840
201301	0	0	0	438
201301	0	1	0	6159
201301	1	0	0	319
201301	1	1	0	3305
201302	0	0	0	448
201302	0	1	0	5605
201302	1	0	0	190
201302	1	1	0	2068
201303	0	0	0	605
201303	0	1	1	9433
201303	1	0	0	324
201303	1	1	0	4269
201304	0	0	0	516
201304	0	1	0	8270
201304	1	0	0	326
201304	1	1	0	3777
201305	0	0	0	878
201305	0	1	1	9848
201305	1	0	0	523
201305	1	1	2	4212
201306	0	0	0	1429
201306	0	1	0	12668
201306	1	0	0	1317
201306	1	1	0	6303
201307	0	0	0	1011
201307	0	1	0	7425
201307	1	0	0	1083
201307	1	1	1	3766
201308	0	0	327	838
201308	0	1	2032	5015
201308	1	0	393	850
201308	1	1	1541	3431
201309	0	0	1527	1235
201309	0	1	9564	8340
201309	1	0	1108	901
201309	1	1	4195	3616
201310	0	0	1642	1306
201310	0	1	12526	10776
201310	1	0	1387	1103
201310	1	1	5940	5105
201311	0	0	1539	1243
201311	0	1	11645	10121
201311	1	0	2100	1656
201311	1	1	8166	7015
201312	0	0	1763	1442
201312	0	1	12531	10941
201312	1	0	2819	2164
201312	1	1	10651	9071
201401	0	0	1784	1437
201401	0	1	10287	8805
201401	1	0	2869	2242
201401	1	1	9523	8126
201402	0	0	1342	1094
201402	0	1	8485	7282
201402	1	0	2041	1544
201402	1	1	6268	5335
201403	0	0	2539	2031
201403	0	1	16096	13679
201403	1	0	2685	2081
201403	1	1	9044	7558
201404	0	0	1766	1420
201404	0	1	10356	8913
201404	1	0	1696	1280
201404	1	1	5671	4806
201405	0	0	2515	2017
201405	0	1	10833	9398
201405	1	0	2848	2235
201405	1	1	6862	5972
201406	0	0	2400	1897
201406	0	1	9201	7874
201406	1	0	2427	1904
201406	1	1	5832	4953
201407	0	0	1456	1157
201407	0	1	3831	3282
201407	1	0	1962	1551
201407	1	1	3793	3261
201408	0	0	1321	1042
201408	0	1	3996	3402
201408	1	0	1683	1345
201408	1	1	3733	3284
201409	0	0	1745	1420
201409	0	1	6665	5724
201409	1	0	1967	1575
201409	1	1	4919	4338
201410	0	0	2442	1944
